ct_dst_src_ltm,sport,ct_dst_sport_ltm,dsport,ct_src_dport_ltm,ct_src_ ltm,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,ct_dst_ltm,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,Label
1,21223,1,32780,1,1,0.000021,728,0,254,0,0,0,1,138666672,0,2,0,0,0,0,0,364,0,0,0,0,0,1421927415,1421927415,0.021,0,0,0,0,0,2,0,0,0,1,1,1
1,3593,1,53,1,1,0.001209,132,164,31,29,0,0,1,436724.5625,542597.1875,2,2,0,0,0,0,66,82,0,0,0,0,1421927414,1421927414,0.043,0.014,0,0,0,0,0,0,0,0,6,9,0
1,49664,1,53,1,1,0.001169,146,178,31,29,0,0,1,499572.25,609067.5625,2,2,0,0,0,0,73,89,0,0,0,0,1421927414,1421927414,0.005,0.003,0,0,0,0,0,0,0,0,7,9,0
2,32119,1,111,1,3,0.078339,568,312,31,29,0,0,2,43503.23438,23896.14258,4,4,0,0,0,0,142,78,0,0,29.682221,34.37034,1421927414,1421927414,21.003,24.315,0,0,0,0,0,0,0,0,2,4,0
1,2142,1,53,2,2,0.001134,132,164,31,29,0,0,1,465608.4688,578483.25,2,2,0,0,0,0,66,82,0,0,0,0,1421927414,1421927414,0.017,0.013,0,0,0,0,0,0,0,0,12,7,0
2,0,2,0,2,2,0,46,0,0,0,0,0,2,0,0,1,0,0,0,0,0,46,0,0,0,0,0,1421927415,1421927415,0,0,0,0,0,1,2,0,0,0,2,2,0
1,40726,1,53,1,1,0.001126,146,178,31,29,0,0,3,518650.0938,632326.8125,2,2,0,0,0,0,73,89,0,0,0,0,1421927415,1421927415,0.018,0.013,0,0,0,0,0,0,0,0,6,7,0
1,12660,1,53,1,1,0.001167,132,164,31,29,0,0,2,452442.1563,562125.0625,2,2,0,0,0,0,66,82,0,0,0,0,1421927415,1421927415,0.018,0.013,0,0,0,0,0,0,0,0,6,7,0
2,0,2,0,2,2,0,46,0,0,0,0,0,2,0,0,1,0,0,0,0,0,46,0,0,0,0,0,1421927415,1421927415,0,0,0,0,0,1,2,0,0,0,2,2,0
2,0,2,0,2,2,0,46,0,0,0,0,0,2,0,0,1,0,0,0,0,0,46,0,0,0,0,0,1421927415,1421927415,0,0,0,0,0,1,2,0,0,0,2,2,0
2,0,2,0,2,2,0,46,0,0,0,0,0,2,0,0,1,0,0,0,0,0,46,0,0,0,0,0,1421927415,1421927415,0,0,0,0,0,1,2,0,0,0,2,2,0
1,48847,1,53,1,5,0.001093,132,164,31,29,0,0,2,483074.0938,600182.9375,2,2,0,0,0,0,66,82,0,0,0,0,1421927415,1421927415,0.018,0.013,0,0,0,0,0,0,0,0,6,9,0
2,24266,1,41049,1,5,0.001851,528,304,31,29,0,0,2,1711507.25,985413.3125,4,4,0,0,0,0,132,76,0,0,0.656903,0.328339,1421927415,1421927415,0.471,0.237667,0,0,0,0,0,0,0,0,8,4,0
2,10393,1,44307,1,5,0.001749,528,304,31,29,0,0,3,1811320.75,1042881.625,4,4,0,0,0,0,132,76,0,0,0.640403,0.280968,1421927415,1421927415,0.458333,0.203667,0,0,0,0,0,0,0,0,8,2,0
1,62539,1,53,1,1,0.001128,132,164,31,29,0,0,2,468085.125,581560.3125,2,2,0,0,0,0,66,82,0,0,0,0,1421927415,1421927415,0.017,0.015,0,0,0,0,0,0,0,0,7,7,0
2,21270,1,111,2,5,0.005153,568,312,31,29,0,0,2,661362.3125,363283.5313,4,4,0,0,0,0,142,78,0,0,1.890104,1.610554,1421927415,1421927415,1.348,1.149333,0,0,0,0,0,0,0,0,8,4,0
2,8989,1,111,2,5,0.004898,568,312,31,29,0,0,3,695794.1875,382196.8125,4,4,0,0,0,0,142,78,0,0,1.780739,1.549507,1421927415,1421927415,1.269667,1.103667,0,0,0,0,0,0,0,0,8,2,0
1,49346,1,53,1,1,0.001111,132,164,31,29,0,0,2,475247.5313,590459.0625,2,2,0,0,0,0,66,82,0,0,0,0,1421927415,1421927415,0.018,0.013,0,0,0,0,0,0,0,0,5,9,0
1,21223,1,32780,1,1,0.000021,728,0,254,0,0,0,1,138666672,0,2,0,0,0,0,0,364,0,0,0,0,0,1421927415,1421927415,0.021,0,0,0,0,0,2,0,0,0,1,1,1
1,23357,1,80,1,1,0.240139,918,25552,62,252,2,10,2,28050.42188,815794.1875,12,24,255,255,1708297952,1939490744,77,1065,1,12026,1170.481668,1144.38336,1421927416,1421927416,21.830818,9.570304,0.051475,0.006528,0.044947,0,1,1,0,0,3,2,1
1,13284,1,80,1,1,2.39039,1362,268,254,252,6,1,2,4233.619141,749.668518,14,6,255,255,3897219059,2466816006,97,45,1,0,18786.7114,941.724938,1421927414,1421927416,183.579303,474.259406,0.066088,0.017959,0.048129,0,1,1,0,0,5,2,1
1,4192,1,53,1,1,0.001101,132,164,31,29,0,0,3,479564.0313,595822,2,2,0,0,0,0,66,82,0,0,0,0,1421927416,1421927416,0.017,0.012,0,0,0,0,0,0,0,0,7,4,0
1,26872,1,53,1,1,0.001082,132,164,31,29,0,0,1,487985.2188,606284.6875,2,2,0,0,0,0,66,82,0,0,0,0,1421927416,1421927416,0.011,0.009,0,0,0,0,0,0,0,0,7,6,0
1,24946,1,53,2,2,0.001122,132,164,31,29,0,0,1,470588.2188,584670.1875,2,2,0,0,0,0,66,82,0,0,0,0,1421927416,1421927416,0.018,0.014,0,0,0,0,0,0,0,0,8,3,0
1,5685,1,53,1,1,0.001141,146,178,31,29,0,0,1,511831.75,624014.0625,2,2,0,0,0,0,73,89,0,0,0,0,1421927416,1421927416,0.017,0.015,0,0,0,0,0,0,0,0,5,7,0
1,22848,1,53,1,1,0.001164,146,178,31,29,0,0,2,501718.2188,611683.8125,2,2,0,0,0,0,73,89,0,0,0,0,1421927416,1421927416,0.018,0.013,0,0,0,0,0,0,0,0,3,8,0
1,28565,1,53,1,1,0.001127,132,164,31,29,0,0,3,468500.4688,582076.3125,2,2,0,0,0,0,66,82,0,0,0,0,1421927416,1421927416,0.017,0.015,0,0,0,0,0,0,0,0,6,4,0
1,46719,1,53,1,1,0.001073,132,164,31,29,0,0,1,492078.2813,611370,2,2,0,0,0,0,66,82,0,0,0,0,1421927416,1421927416,0.011,0.008,0,0,0,0,0,0,0,0,6,7,0
1,25100,1,53,2,2,0.001196,146,178,31,29,0,0,3,488294.3125,595317.6875,2,2,0,0,0,0,73,89,0,0,0,0,1421927416,1421927416,0.017,0.015,0,0,0,0,0,0,0,0,8,4,0
1,29704,1,53,1,1,0.001101,132,164,31,29,0,0,2,479564.0313,595822,2,2,0,0,0,0,66,82,0,0,0,0,1421927416,1421927416,0.017,0.013,0,0,0,0,0,0,0,0,6,8,0
1,36998,1,53,2,2,0.001058,146,178,31,29,0,0,1,551984.875,672967.875,2,2,0,0,0,0,73,89,0,0,0,0,1421927417,1421927417,0.017,0.013,0,0,0,0,0,0,0,0,6,7,0
1,6438,1,53,2,2,0.0011,132,164,31,29,0,0,3,480000,596363.625,2,2,0,0,0,0,66,82,0,0,0,0,1421927417,1421927417,0.018,0.013,0,0,0,0,0,0,0,0,6,6,0
1,1416,1,53,1,1,0.001126,146,178,31,29,0,0,1,518650.0938,632326.8125,2,2,0,0,0,0,73,89,0,0,0,0,1421927417,1421927417,0.011,0.008,0,0,0,0,0,0,0,0,8,9,0
1,35578,1,53,2,2,0.001017,146,178,31,29,0,0,3,574238,700098.375,2,2,0,0,0,0,73,89,0,0,0,0,1421927417,1421927417,0.011,0.012,0,0,0,0,0,0,0,0,5,6,0
1,38902,1,53,2,2,0.001094,132,164,31,29,0,0,1,482632.5625,599634.375,2,2,0,0,0,0,66,82,0,0,0,0,1421927417,1421927417,0.011,0.009,0,0,0,0,0,0,0,0,5,8,0
1,9897,1,53,1,1,0.001092,132,164,31,29,0,0,3,483516.4688,600732.5625,2,2,0,0,0,0,66,82,0,0,0,0,1421927417,1421927417,0.017,0.012,0,0,0,0,0,0,0,0,3,6,0
1,44759,1,53,1,1,0.001082,132,164,31,29,0,0,1,487985.2188,606284.6875,2,2,0,0,0,0,66,82,0,0,0,0,1421927417,1421927417,0.017,0.012,0,0,0,0,0,0,0,0,7,8,0
1,13792,1,5555,1,1,0.17519,8168,268,254,252,4,1,1,346366.8125,10228.89453,14,6,255,255,2505143795,3592239707,583,45,0,0,774.788316,47.765387,1421927417,1421927417,11.837692,33.287,0.054878,0.008744,0.046134,0,1,0,0,0,1,1,1
1,26939,1,80,1,1,0.1906,844,268,254,252,2,1,1,31899.26758,9401.888672,10,6,255,255,3006332195,1452987536,84,45,1,0,996.632407,59.532129,1421927418,1421927418,18.573778,36.845602,0.050675,0.006354,0.044321,0,1,1,0,0,3,1,1
1,58304,1,53,2,4,0.001089,132,164,31,29,0,0,1,484848.4688,602387.5,2,2,0,0,0,0,66,82,0,0,0,0,1421927418,1421927418,0.011,0.009,0,0,0,0,0,0,0,0,7,7,0
1,7419,1,53,1,1,0.001126,132,164,31,29,0,0,3,468916.5313,582593.25,2,2,0,0,0,0,66,82,0,0,0,0,1421927418,1421927418,0.017,0.012,0,0,0,0,0,0,0,0,8,8,0
2,12527,1,23202,1,4,0.001859,528,304,31,29,0,0,3,1704142,981172.6875,4,4,0,0,0,0,132,76,0,0,0.662323,0.337295,1421927418,1421927418,0.475333,0.244,0,0,0,0,0,0,0,0,5,3,0
1,52335,1,53,1,1,0.001152,132,164,31,29,0,0,1,458333.3125,569444.4375,2,2,0,0,0,0,66,82,0,0,0,0,1421927418,1421927418,0.011,0.009,0,0,0,0,0,0,0,0,6,4,0
2,39558,1,111,1,4,0.004996,568,312,31,29,0,0,3,682145.75,374699.7813,4,4,0,0,0,0,142,78,0,0,1.838719,1.588406,1421927418,1421927418,1.312667,1.137667,0,0,0,0,0,0,0,0,5,3,0
1,47526,1,53,2,4,0.001044,146,178,31,29,0,0,1,559386.9375,681992.3125,2,2,0,0,0,0,73,89,0,0,0,0,1421927418,1421927418,0.018,0.011,0,0,0,0,0,0,0,0,7,9,0
1,54634,1,53,1,1,0.001089,132,164,31,29,0,0,1,484848.4688,602387.5,2,2,0,0,0,0,66,82,0,0,0,0,1421927418,1421927418,0.018,0.013,0,0,0,0,0,0,0,0,7,4,0
1,26778,1,53,1,1,0.001122,146,178,31,29,0,0,1,520499.0938,634581.0625,2,2,0,0,0,0,73,89,0,0,0,0,1421927418,1421927418,0.017,0.012,0,0,0,0,0,0,0,0,5,7,0
